movieId,mean,count,weighted_score,title,genres,IMAX,Children,Action,Fantasy,Thriller,Sci-Fi,Comedy,Film-Noir,(no genres listed),Documentary,Animation,Horror,Adventure,Romance,Crime,Mystery,War,Musical,Drama,Western
1,3.886649433,68469,3.886535016,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2,3.246582913,27143,3.246812803,Jumanji (1995),Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,3.173981392,15585,3.174483872,Grumpier Old Men (1995),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2.87453998,2989,2.87933238,Waiting to Exhale (1995),Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5,3.07729094,15474,3.077934292,Father of the Bride Part II (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.844210857,28683,3.843970381,Heat (1995),Action|Crime|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,3.371348278,15301,3.371576701,Sabrina (1995),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,3.122482131,1539,3.128231771,Tom and Huck (1995),Adventure|Children,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,3.007529782,4449,3.010102839,Sudden Death (1995),Action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3.431632715,33086,3.431698375,GoldenEye (1995),Action|Adventure|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,3.660277594,19669,3.660132537,"American President, The (1995)",Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
12,2.669650752,4524,2.673816497,Dracula: Dead and Loving It (1995),Comedy|Horror,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13,3.339651639,1952,3.341778011,Balto (1995),Adventure|Animation|Children,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,3.428999708,6838,3.429325043,Nixon (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2.730976538,3154,2.736514419,Cutthroat Island (1995),Action|Adventure|Romance,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,3.802362391,21165,3.802080039,Casino (1995),Crime|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,3.950126263,24552,3.949750541,Sense and Sensibility (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,3.412070344,6255,3.412485231,Four Rooms (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.642014209,24913,2.642798067,Ace Ventura: When Nature Calls (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
