,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,director_name,actor_1_name,actor_2_name,actor_3_name,imdb_id
0,237000000,Action|Adventure|Fantasy|Science Fiction,http://www.avatarmovie.com/,19995,culture clash|future|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|soldier|battle|mind and soul|3d,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,Ingenious Film Partners,United States of America,2009,2787965087,162,English,Released,Enter the World of Pandora.,Avatar,7.2,11800,James Cameron,Zoe Saldana,Sigourney Weaver,Stephen Lang,tt0499549
1,300000000,Adventure|Fantasy|Action,http://disney.go.com/disneypictures/pirates/,285,ocean|drug abuse|exotic island|east india trading company|love of one's life|traitor|shipwreck|strong woman|ship|afterlife|fighter|pirate|swashbuckler|aftercreditsstinger,en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,Walt Disney Pictures,United States of America,2007,961000000,169,English,Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500,Gore Verbinski,Orlando Bloom,Keira Knightley,Stellan Skarsgård,tt0449088
2,245000000,Action|Adventure|Crime,http://www.sonypictures.com/movies/spectre/,206647,spy|based on novel|secret agent|sequel|british secret service,en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,Columbia Pictures,United Kingdom,2015,880674609,148,Français,Released,A Plan No One Escapes,Spectre,6.3,4466,Sam Mendes,Christoph Waltz,Léa Seydoux,Ralph Fiennes,tt2379713
3,250000000,Action|Crime|Drama|Thriller,http://www.thedarkknightrises.com/,49026,dc comics|crime fighter|terrorist|secret identity|burglar|hostage drama|gotham city|vigilante|cover-up|superhero|tragic hero|terror|death|imax|flood,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,Legendary Pictures,United States of America,2012,1084939099,165,English,Released,The Legend Ends,The Dark Knight Rises,7.6,9106,Christopher Nolan,Michael Caine,Gary Oldman,Anne Hathaway,tt1345836
4,260000000,Action|Adventure|Science Fiction,http://movies.disney.com/john-carter,49529,based on novel|mars|medallion|space travel|princess|alien|steampunk|martian|escape|superhuman strength|19th century|3d,en,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,Walt Disney Pictures,United States of America,2012,284139100,132,English,Released,"Lost in our world, found in another.",John Carter,6.1,2124,Andrew Stanton,Lynn Collins,Samantha Morton,Willem Dafoe,tt0401729
5,258000000,Fantasy|Action|Adventure,http://www.sonypictures.com/movies/spider-man3/,559,dual identity|amnesia|sandstorm|love of one's life|forgiveness|spider|wretch|death of a friend|hostility|marvel comic|sequel|superhero|revenge,en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,Columbia Pictures,United States of America,2007,890871626,139,English,Released,The battle within.,Spider-Man 3,5.9,3576,Sam Raimi,Kirsten Dunst,James Franco,Thomas Haden Church,tt0413300
6,260000000,Animation|Family,http://disney.go.com/disneypictures/tangled/,38757,hostage|magic|horse|fairy tale|music|princess|anime|based on fairy tale|duringcreditsstinger,en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,Walt Disney Pictures,United States of America,2010,591794936,100,English,Released,They're taking adventure to new lengths.,Tangled,7.4,3330,Byron Howard,Mandy Moore,Donna Murphy,Ron Perlman,tt0398286
7,280000000,Action|Adventure|Science Fiction,http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,marvel comic|sequel|superhero|based on comic book|vision|superhero team|duringcreditsstinger|marvel cinematic universe|3d,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,Marvel Studios,United States of America,2015,1405403694,141,English,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,Joss Whedon,Chris Hemsworth,Mark Ruffalo,Chris Evans,tt2395427
8,250000000,Adventure|Fantasy|Family,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,witch|magic|broom|school of witchcraft|wizardry|shadow|teenage crush|werewolf,en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,Warner Bros.,United Kingdom,2009,933959197,153,English,Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293,David Yates,Rupert Grint,Emma Watson,Tom Felton,tt0417741
9,250000000,Action|Adventure|Fantasy,http://www.batmanvsupermandawnofjustice.com/,209112,dc comics|vigilante|superhero|based on comic book|revenge|super powers,en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,DC Comics,United States of America,2016,873260194,151,English,Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004,Zack Snyder,Henry Cavill,Gal Gadot,Amy Adams,tt2975590
